,league,model_pred,runs_off_bat,year,striker
0,BBL,0.7242457401907144,,2011,SR Tendulkar
1,IPL,0.5448218919556499,1.082191780821918,2011,SR Tendulkar
2,BBL,0.5178990151633578,1.4871794871794872,2011,CH Gayle
3,IPL,0.415310214673272,1.7777777777777777,2011,CH Gayle
4,BBL,0.6759418477411286,,2011,V Kohli
5,IPL,0.6152984194385468,1.173728813559322,2011,V Kohli
6,BBL,0.6429576363920588,0.0,2011,MEK Hussey
7,IPL,0.6345246520405756,1.1587677725118484,2011,MEK Hussey
8,BBL,0.5472877911521026,1.5810810810810811,2011,SE Marsh
9,IPL,0.45270110875206415,1.4396551724137931,2011,SE Marsh
10,BBL,0.6942316710958262,,2011,JH Kallis
11,IPL,0.5334394904458599,1.0984455958549222,2011,JH Kallis
12,BBL,0.6496795372831015,1.3571428571428572,2011,BJ Hodge
13,IPL,0.4577140835102618,1.1481481481481481,2011,BJ Hodge
14,BBL,0.6157573862748164,,2011,AT Rayudu
15,IPL,0.6198395848077377,1.1126760563380282,2011,AT Rayudu
16,BBL,0.6531186493668907,,2011,PC Valthaty
17,IPL,0.4634347723519698,1.3190883190883191,2011,PC Valthaty
18,BBL,0.7054869470064092,,2011,M Vijay
19,IPL,0.5858103326256192,1.2231884057971014,2011,M Vijay
20,BBL,0.5644833515710489,1.0,2011,BB McCullum
21,IPL,0.40929464496343476,1.2164948453608246,2011,BB McCullum
22,BBL,0.7686415507269032,,2011,SK Raina
23,IPL,0.6067468742627978,1.2964071856287425,2011,SK Raina
24,BBL,0.691886821947788,,2011,MK Tiwary
25,IPL,0.6073366359990564,1.039039039039039,2011,MK Tiwary
26,BBL,0.6735969985930905,,2011,G Gambhir
27,IPL,0.5692380278367539,1.1272727272727272,2011,G Gambhir
28,BBL,0.5929341879005784,1.9411764705882353,2011,DA Warner
29,IPL,0.5717150271290399,1.1330935251798562,2011,DA Warner
30,BBL,0.7903704861653901,,2011,S Badrinath
31,IPL,0.7297121962727058,1.2375,2011,S Badrinath
32,BBL,0.5932468344536501,,2011,R Dravid
33,IPL,0.5654635527246992,1.0595611285266457,2011,R Dravid
34,BBL,0.6917304986712521,,2011,S Dhawan
35,IPL,0.5375678225996697,1.2579617834394905,2011,S Dhawan
36,BBL,0.5308738471158355,,2011,AC Gilchrist
37,IPL,0.4608398207124322,1.228013029315961,2011,AC Gilchrist
38,BBL,0.7115835547913084,,2011,RG Sharma
39,IPL,0.6137060627506488,1.2178217821782178,2011,RG Sharma
40,BBL,0.5258715022666876,,2011,KC Sangakkara
41,IPL,0.4329440905874027,1.2013422818791946,2011,KC Sangakkara
42,BBL,0.5948100672190089,,2011,Y Venugopal Rao
43,IPL,0.4497523000707714,1.1443298969072164,2011,Y Venugopal Rao
44,BBL,0.6121619509144912,,2011,DPMD Jayawardene
45,IPL,0.5235314932767162,1.0922509225092252,2011,DPMD Jayawardene
46,BBL,0.5666718774425512,,2011,Yuvraj Singh
47,IPL,0.41943854682708187,1.275092936802974,2011,Yuvraj Singh
48,BBL,0.6839143348444583,1.3131313131313131,2011,DT Christian
49,IPL,0.45329087048832273,1.16875,2011,DT Christian
50,BBL,0.5221197436298265,,2011,SR Watson
51,IPL,0.4194975230007077,1.2823529411764707,2011,SR Watson
52,BBL,0.5436923557917774,1.206896551724138,2011,MR Marsh
53,IPL,0.5636942675159236,1.0,2011,MR Marsh
54,BBL,0.7181491324058152,,2011,AB de Villiers
55,IPL,0.6865416371785799,1.2510121457489878,2011,AB de Villiers
56,BBL,0.7022041581991558,,2011,V Sehwag
57,IPL,0.6204293465439962,1.7165991902834008,2011,V Sehwag
58,BBL,0.5976238861966546,,2011,MS Dhoni
59,IPL,0.4919792403868837,1.58130081300813,2011,MS Dhoni
60,BBL,0.5519774894481788,1.296875,2011,AJ Finch
61,IPL,0.3891247935833923,0.9215686274509803,2011,AJ Finch
62,BBL,0.8347662967015789,1.3055555555555556,2011,J Botha
63,IPL,0.7571950931823543,1.15,2011,J Botha
64,BBL,0.6118493043614194,,2011,RA Jadeja
65,IPL,0.5179877329558858,1.2094017094017093,2011,RA Jadeja
66,BBL,0.6265436923557918,,2011,MK Pandey
67,IPL,0.5332035857513564,1.055793991416309,2011,MK Pandey
68,BBL,0.6410817570736282,1.5664739884393064,2011,TR Birt
69,IPL,0.5745458834630809,1.271186440677966,2011,TR Birt
70,BBL,0.5249335626074723,,2011,KD Karthik
71,IPL,0.43972635055437603,1.2286995515695067,2011,KD Karthik
72,BBL,0.4778802563701735,1.187214611872146,2011,NJ Maddinson
73,IPL,0.3491389478650625,,2011,NJ Maddinson
74,BBL,0.5840237611380334,,2011,RV Uthappa
75,IPL,0.5091413069120075,1.2279069767441861,2011,RV Uthappa
76,BBL,0.5885571361575739,,2011,YK Pathan
77,IPL,0.45163953762679876,1.3804878048780487,2011,YK Pathan
78,BBL,0.8241363138971393,1.3714285714285714,2011,DJ Hussey
79,IPL,0.5963080915310215,0.953125,2011,DJ Hussey
80,BBL,0.5585430670626856,1.1225490196078431,2011,MJ North
81,IPL,0.3624085869308799,,2011,MJ North
82,BBL,0.7175238392996717,,2011,JD Ryder
83,IPL,0.5281906109931588,1.445,2011,JD Ryder
84,BBL,0.5397842738783805,,2011,S Sohal
85,IPL,0.48242510025949514,1.2110552763819096,2011,S Sohal
86,BBL,0.4825699546662498,1.4873096446700507,2011,HH Gibbs
87,IPL,0.3446567586694975,,2011,HH Gibbs
88,BBL,0.7303423479756136,,2011,SS Tiwary
89,IPL,0.6155343241330502,0.9540816326530612,2011,SS Tiwary
90,BBL,0.7170548694700641,1.1458333333333333,2011,MC Henriques
91,IPL,0.666961547534796,,2011,MC Henriques
92,BBL,0.680631546037205,1.1929824561403508,2011,M Klinger
93,IPL,0.5506605331446096,0.9090909090909091,2011,M Klinger
94,BBL,0.6462404251993121,,2011,PA Patel
95,IPL,0.5843359282849728,1.0585106382978724,2011,PA Patel
96,BBL,0.33718930748788495,,2011,TM Dilshan
97,IPL,0.22469922151450814,1.2216216216216216,2011,TM Dilshan
98,BBL,0.76270126621854,0.8181818181818182,2011,JR Hopes
99,IPL,0.585928284972871,1.2098765432098766,2011,JR Hopes
100,BBL,0.5832421447553541,1.2021857923497268,2011,RJ Quiney
101,IPL,0.3942557206888417,,2011,RJ Quiney
102,BBL,0.26746912615288415,0.7285714285714285,2011,CL White
103,IPL,0.3091531021467327,0.9351851851851852,2011,CL White
104,BBL,0.751289667031421,,2011,JP Duminy
105,IPL,0.6582920500117952,1.1542857142857144,2011,JP Duminy
106,BBL,0.680631546037205,1.1485714285714286,2011,PA Jaques
107,IPL,0.5763741448454824,,2011,PA Jaques
108,BBL,0.5486947006409254,,2011,NV Ojha
109,IPL,0.41059212078320356,0.9467455621301775,2011,NV Ojha
110,BBL,0.4439581053618884,,2011,B Chipli
111,IPL,0.31221986317527717,1.1607142857142858,2011,B Chipli
112,BBL,0.6568704080037517,1.0357142857142858,2011,JW Wells
113,IPL,0.4292285916489738,,2011,JW Wells
114,BBL,0.6657808347662967,1.4,2011,OA Shah
115,IPL,0.553727294173154,1.625,2011,OA Shah
116,BBL,0.5990307956854776,1.364864864864865,2011,AC Blizzard
117,IPL,0.4046945034206181,1.3448275862068966,2011,AC Blizzard
118,BBL,0.46599968735344693,,2011,AL Menaria
119,IPL,0.3673036093418259,1.139240506329114,2011,AL Menaria
120,BBL,0.5577614506800063,,2011,LRPL Taylor
121,IPL,0.4143665958952583,1.1337579617834395,2011,LRPL Taylor
122,BBL,0.4609973425042989,1.3576158940397351,2011,LJ Wright
123,IPL,0.43300306676102857,,2011,LJ Wright
124,BBL,0.7189307487884946,,2011,IK Pathan
125,IPL,0.5418141071007313,1.0273972602739727,2011,IK Pathan
126,BBL,0.8779115210254806,,2011,DB Ravi Teja
127,IPL,0.6625383345128568,1.2206896551724138,2011,DB Ravi Teja
128,BBL,0.7054869470064092,,2011,A Symonds
129,IPL,0.580620429346544,0.9295774647887324,2011,A Symonds
130,BBL,0.5944974206659371,,2011,KA Pollard
131,IPL,0.440552016985138,1.0354609929078014,2011,KA Pollard
132,BBL,0.7329998436767234,,2011,MA Agarwal
133,IPL,0.6058032554847842,1.0930232558139534,2011,MA Agarwal
134,BBL,0.6374863217133031,,2011,M Manhas
135,IPL,0.5600377447511206,0.890625,2011,M Manhas
136,BBL,0.584649054244177,1.296875,2011,SPD Smith
137,IPL,0.5388652984194385,,2011,SPD Smith
138,BBL,0.5991871189620135,1.271186440677966,2011,AB McDonald
139,IPL,0.6528072658645907,1.1428571428571428,2011,AB McDonald
140,BBL,0.6582773174925747,,2011,EJG Morgan
141,IPL,0.46219627270582686,1.098360655737705,2011,EJG Morgan
142,BBL,0.5887134594341097,1.0317460317460319,2011,CJ Ferguson
143,IPL,0.5790280726586459,0.8571428571428571,2011,CJ Ferguson
144,BBL,0.7770830076598405,1.2682926829268293,2011,MS Wade
145,IPL,0.6471455531965086,0.6666666666666666,2011,MS Wade
146,BBL,0.6073159293418791,0.8482142857142857,2011,UT Khawaja
147,IPL,0.5604505779665016,,2011,UT Khawaja
148,BBL,0.5952790370486165,,2011,JA Morkel
149,IPL,0.7954116536919085,1.2777777777777777,2011,JA Morkel
150,BBL,0.6398311708613412,,2011,Y Nagar
151,IPL,0.34501061571125263,1.0093457943925233,2011,Y Nagar
152,BBL,0.4178521181803971,1.1538461538461537,2011,PJ Forrest
153,IPL,0.26928520877565465,,2011,PJ Forrest
154,BBL,0.517742691886822,,2011,R McLaren
155,IPL,0.5425807973578675,0.8910891089108911,2011,R McLaren
156,BBL,0.8280443958105362,1.12,2011,ML Hayden
157,IPL,0.732896909648502,,2011,ML Hayden
158,BBL,0.6468657183054557,,2011,AM Rahane
159,IPL,0.5441141778721397,1.1938775510204083,2011,AM Rahane
160,BBL,0.7447240894169141,1.202127659574468,2011,PD Collingwood
161,IPL,0.584276952111347,,2011,PD Collingwood
162,BBL,0.6403001406909489,1.2473118279569892,2011,DJ Harris
163,IPL,0.4813045529606039,,2011,DJ Harris
164,BBL,0.6831327184617789,,2011,DJ Jacobs
165,IPL,0.5696508610521349,1.010989010989011,2011,DJ Jacobs
166,BBL,0.5507269032358918,0.6363636363636364,2011,JEC Franklin
167,IPL,0.7519462137296532,1.3375,2011,JEC Franklin
168,BBL,0.7445677661403783,,2011,MS Bisla
169,IPL,0.6023236612408587,0.8,2011,MS Bisla
170,BBL,0.9882757542598093,1.1910112359550562,2011,CJ Borgas
171,IPL,0.9466265628686011,,2011,CJ Borgas
172,BBL,1.031577301860247,1.0120481927710843,2011,MJ Lumb
173,IPL,0.7924628450106157,0.0,2011,MJ Lumb
174,BBL,0.944348913553228,1.4146341463414633,2011,BJ Rohrer
175,IPL,0.9002712903986789,,2011,BJ Rohrer
176,BBL,0.7647334688135063,1.024390243902439,2011,GJ Bailey
177,IPL,0.6917315404576551,,2011,GJ Bailey
178,BBL,0.6279506018446147,,2011,S Anirudha
179,IPL,0.3760910592120783,1.064102564102564,2011,S Anirudha
180,BBL,0.6367047053306237,,2011,RN ten Doeschate
181,IPL,0.6243807501769285,1.4078947368421053,2011,RN ten Doeschate
182,BBL,0.45615132093168675,1.0,2011,SNJ O'Keefe
183,IPL,0.48271998112762443,,2011,SNJ O'Keefe
184,BBL,0.7847428482100984,0.9864864864864865,2011,AC Voges
185,IPL,0.6594715734843123,,2011,AC Voges
186,BBL,0.7264342660622166,,2011,Harbhajan Singh
187,IPL,0.5575017692852088,1.3918918918918919,2011,Harbhajan Singh
188,BBL,0.5069563858058465,1.1967213114754098,2011,BJ Haddin
189,IPL,0.3581033262561925,1.6363636363636365,2011,BJ Haddin
190,BBL,0.9038611849304361,1.408450704225352,2011,GJ Maxwell
191,IPL,0.787449870252418,,2011,GJ Maxwell
192,BBL,0.8213224949194935,1.2318840579710144,2011,SM Katich
193,IPL,0.7005779665015334,,2011,SM Katich
194,BBL,0.6782866968891668,0.6764705882352942,2011,BR Dunk
195,IPL,0.4975819768813399,,2011,BR Dunk
196,BBL,0.36735969985930905,,2011,AM Nayar
197,IPL,0.28361641896673745,0.9104477611940298,2011,AM Nayar
198,BBL,0.8039706112240113,,2011,WP Saha
199,IPL,0.6362939372493512,1.0149253731343284,2011,WP Saha
200,BBL,0.4691261528841644,1.4285714285714286,2011,CA Lynn
201,IPL,0.3320948336871904,,2011,CA Lynn
202,BBL,0.6568704080037517,1.0701754385964912,2011,DJ Bravo
203,IPL,0.4723991507430998,1.8333333333333333,2011,DJ Bravo
204,BBL,0.5307175238392997,1.0317460317460319,2011,SA Abbott
205,IPL,0.3645317291814107,,2011,SA Abbott
206,BBL,0.43692355791777393,,2011,SC Ganguly
207,IPL,0.34200283085633404,0.819672131147541,2011,SC Ganguly
208,BBL,1.1916523370329841,,2011,AG Paunikar
209,IPL,0.7392073602264685,0.8166666666666667,2011,AG Paunikar
210,BBL,0.7505080506487416,1.0,2011,AJ Crosthwaite
211,IPL,0.5852795470629866,,2011,AJ Crosthwaite
212,BBL,0.2666875097702048,1.1833333333333333,2011,AW Robinson
213,IPL,0.22865062514744044,,2011,AW Robinson
214,BBL,0.680631546037205,,2011,MD Mishra
215,IPL,0.6405991979240387,1.1166666666666667,2011,MD Mishra
216,BBL,0.5335313428169455,1.1904761904761905,2011,RJ Harris
217,IPL,0.43665958952583156,0.7948717948717948,2011,RJ Harris
218,BBL,0.29529466937627014,0.6440677966101694,2011,DLR Smith
